mode,decode,gpu,torch,latency_b1_ms,fps_b1,fps_b8,fps_b16,fps_b32,best_fps,peak_vram_mb,weights_mb,load_s,determinism_max_diff,points_latency,points_fps
fast,pil,NVIDIA GeForce RTX 4050 Laptop GPU,2.14.0+cu132,50.84,27.2,93.8,105.2,104.8,105.2,815,167,3.35,0.0,7.29,10.0
fast_vit,pil,NVIDIA GeForce RTX 4050 Laptop GPU,2.14.0+cu132,33.79,30.1,103.1,107.0,102.1,107.0,726,163,1.57,0.0,10.0,10.0
accurate,pil,NVIDIA GeForce RTX 4050 Laptop GPU,2.14.0+cu132,85.1,11.7,46.9,46.2,43.1,46.9,1334,331,2.67,0.0,0.0,0.0
fast_vit,pil,12,12,NVIDIA GeForce RTX 4050 Laptop GPU,2.14.0+cu132,27.22,33.5,128.3,135.2,126.7,135.2,726,163,3.31,0.0,10.0,10.0
